Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Vintage,Annual_Premium_bin,Response_pred,Response_prob
1,23,1,37,0,0,1,152,76,2,1,0.5308197
1,41,1,35,0,1,1,152,243,0,1,0.59163034
0,42,1,2,0,1,1,124,276,2,1,0.6599451
1,46,1,28,0,1,1,26,204,2,1,0.8138002
0,57,1,38,0,1,1,157,288,0,1,0.6785502
1,54,1,35,0,1,1,124,111,2,1,0.749014
0,38,1,28,0,1,1,124,125,0,1,0.78611195
0,47,1,28,0,1,1,26,227,3,1,0.8170761
1,24,1,40,0,0,1,152,35,2,1,0.5165767
0,21,1,28,0,1,1,124,228,2,1,0.59643716
1,48,1,3,0,1,1,154,176,1,1,0.81581926
0,39,1,28,0,1,1,26,18,2,1,0.805086
0,42,1,8,0,1,1,26,263,2,1,0.7556342
1,29,1,11,0,0,1,120,201,2,1,0.7970079
1,45,1,28,0,1,1,26,148,2,1,0.81071275
0,43,1,28,0,1,1,26,21,1,1,0.8005866
0,29,1,37,0,0,1,152,283,1,1,0.57269436
1,63,1,41,0,1,1,26,78,2,1,0.64872366
1,61,1,28,0,1,1,163,162,0,1,0.6715847
1,36,1,22,0,1,1,154,167,0,1,0.70564634
1,49,1,42,0,1,1,124,59,2,1,0.6727455
1,69,1,28,0,1,1,13,264,2,1,0.5538833
0,45,1,28,0,1,1,26,30,2,1,0.8073522
1,54,1,41,0,1,1,26,106,2,1,0.7780057
1,48,1,46,0,1,1,26,279,2,1,0.76678485
1,41,1,8,0,1,1,124,86,2,1,0.7171448
0,46,1,28,0,1,1,26,289,2,1,0.81192964
1,42,1,38,0,1,1,26,46,0,1,0.7743266
1,47,1,28,0,1,1,26,107,3,1,0.81706566
0,34,1,47,0,1,1,155,173,0,1,0.85885954
1,24,1,37,0,0,1,152,214,2,1,0.51262546
1,54,1,46,0,1,1,26,91,2,1,0.74542356
1,35,1,23,0,1,1,26,157,1,1,0.84402174
1,50,1,39,0,1,1,7,159,0,1,0.6556963
0,49,1,28,0,2,1,157,99,0,1,0.58600813
1,56,1,28,0,1,1,26,276,2,1,0.74323094
0,64,1,41,0,1,1,26,237,2,1,0.6738853
1,58,1,46,0,1,1,26,54,2,1,0.70658904
1,23,1,27,0,0,1,26,60,2,1,0.57134354
1,67,1,37,0,2,1,26,181,2,1,0.70816934
0,51,1,28,0,1,1,60,135,2,1,0.6768448
1,58,1,48,0,1,1,124,259,0,1,0.5551365
0,56,1,18,0,1,1,157,101,1,1,0.82818425
1,55,1,28,0,2,1,124,184,3,1,0.7342966
0,63,1,28,0,1,1,124,11,2,1,0.64361405
0,42,1,45,0,1,1,124,160,2,1,0.7453022
1,41,1,28,0,1,1,52,100,2,1,0.72146815
0,43,1,28,0,1,1,125,289,2,1,0.6861919
0,44,1,15,0,1,1,124,214,2,1,0.74509203
1,45,1,41,0,1,1,124,73,2,1,0.77927494
1,29,1,28,0,0,1,124,125,2,1,0.8645735
1,54,1,28,0,1,1,26,181,2,1,0.77741164
1,65,1,28,0,1,1,26,71,2,1,0.6654975
1,55,1,50,0,1,1,8,189,2,1,0.5909055
1,37,1,28,0,1,1,125,125,3,1,0.82431763
1,46,1,8,0,1,1,124,163,2,1,0.72546345
1,41,1,28,0,1,1,26,35,2,1,0.8062542
0,43,1,28,0,1,1,26,242,2,1,0.8204653
0,60,1,8,0,1,1,26,270,2,1,0.6145187
0,31,1,28,0,0,1,124,81,2,1,0.8594486
0,31,1,48,0,1,1,156,120,0,1,0.6697235
0,41,1,43,0,1,1,26,150,0,1,0.721892
1,54,0,46,0,1,1,26,186,2,1,0.76930267
1,36,1,29,0,1,1,124,56,2,1,0.84626305
1,45,1,28,0,1,1,124,157,0,1,0.74006045
1,30,1,23,0,0,1,26,283,2,1,0.832226
1,46,1,28,0,1,1,124,183,2,1,0.7467813
1,69,1,28,0,2,1,122,134,0,1,0.6124746
1,59,1,6,0,1,1,122,40,1,1,0.551055
0,70,1,24,0,1,1,26,299,2,1,0.5422313
1,23,1,15,0,0,1,156,242,0,1,0.56031895
1,25,1,14,0,0,1,152,259,0,1,0.5170521
0,38,1,28,0,1,1,156,204,0,1,0.7614908
0,54,1,50,0,1,1,124,183,2,1,0.6102053
1,52,1,46,0,1,1,26,246,2,1,0.7350971
1,39,1,28,0,1,1,124,204,2,1,0.78006864
1,34,1,35,0,1,1,152,259,2,1,0.71873367
0,41,1,28,0,1,1,4,142,1,1,0.6489931
1,55,1,22,0,1,1,124,232,2,1,0.65972906
0,56,1,41,0,1,1,124,77,2,1,0.6950775
1,36,1,13,0,1,1,152,14,1,1,0.6111428
1,40,1,38,0,1,1,157,151,0,1,0.6854815
0,60,1,20,0,2,1,26,297,0,1,0.72556937
0,47,1,28,0,1,1,55,133,3,1,0.756643
1,66,1,28,0,1,1,124,126,3,1,0.5619832
0,38,1,3,0,1,1,124,138,2,1,0.78664565
1,59,1,8,0,1,1,124,81,2,1,0.5819891
1,46,1,28,0,2,1,26,103,3,1,0.87650055
1,27,1,36,0,0,1,152,51,2,1,0.5444932
1,51,1,41,0,1,1,26,172,1,1,0.7945008
1,52,1,48,0,1,1,124,102,0,1,0.58916026
1,42,1,39,0,1,1,26,169,0,1,0.74064684
1,76,1,28,0,1,1,26,163,2,1,0.5619675
0,43,1,28,0,1,1,26,176,2,1,0.80806357
1,49,1,47,0,1,1,124,83,2,1,0.6664033
0,38,1,29,0,1,1,26,221,2,1,0.85235244
0,74,1,28,0,1,1,26,191,2,1,0.5510763
0,44,1,28,0,1,1,26,232,3,1,0.81386536
1,49,1,33,0,1,1,26,299,2,1,0.7832709
1,25,1,13,0,0,1,151,42,2,1,0.5170018
0,44,1,28,0,1,1,122,101,2,1,0.77015525
1,67,1,3,0,1,1,26,207,2,1,0.6246974
1,42,1,47,0,1,1,124,260,3,1,0.7427693
0,24,1,30,0,0,1,152,128,2,1,0.5338826
0,27,1,28,0,0,1,124,184,2,1,0.7931284
0,37,1,28,0,1,1,124,276,2,1,0.8025382
1,36,1,32,0,1,1,156,136,1,1,0.81434876
1,35,1,28,0,1,1,124,84,2,1,0.8350129
0,25,1,28,0,0,1,152,188,2,1,0.5510108
1,61,1,50,0,1,1,3,69,2,1,0.6058993
1,23,1,12,0,0,1,152,166,0,1,0.52096355
1,42,1,19,0,1,1,124,40,2,1,0.73191
1,36,1,28,0,1,1,156,131,2,1,0.795459
1,48,1,28,0,1,1,26,242,2,1,0.8159218
1,44,1,8,0,1,1,124,91,2,1,0.7065843
0,45,1,28,0,1,1,124,177,2,1,0.74848086
1,48,1,8,0,1,1,124,200,2,1,0.6999
1,50,1,28,0,2,1,26,141,3,1,0.87198627
1,54,1,28,0,1,1,26,174,2,1,0.7706118
1,38,1,50,0,1,1,124,178,2,1,0.74463916
1,58,1,28,0,1,1,29,147,2,1,0.6333544
0,24,1,47,0,0,1,26,88,2,1,0.5031108
0,43,1,28,0,1,1,26,65,3,1,0.80295396
1,40,1,8,0,1,1,26,297,0,1,0.7628197
0,22,1,41,0,0,1,26,207,2,1,0.5206723
1,46,1,28,0,1,1,26,170,2,1,0.81213975
1,51,1,28,0,2,1,26,135,0,1,0.82751733
0,65,1,46,0,1,1,157,27,1,1,0.7915345
1,22,1,28,0,0,1,124,55,2,1,0.7132439
0,49,1,28,0,2,1,26,34,2,1,0.83139807
0,37,1,41,0,1,1,154,146,2,1,0.83492905
1,38,1,29,0,1,1,155,270,2,1,0.8082216
1,59,1,23,0,1,1,157,104,2,1,0.73337626
1,27,1,3,0,0,1,152,253,2,1,0.59730834
1,51,1,8,0,1,1,124,63,2,1,0.66720307
1,35,1,18,0,1,1,124,49,2,1,0.85347766
1,50,1,43,0,2,1,26,284,2,1,0.86043185
0,44,1,28,0,1,1,26,85,2,1,0.8112305
0,28,1,28,0,0,1,152,107,2,1,0.66370976
1,31,1,28,0,0,1,122,52,2,1,0.8347195
1,33,1,3,0,0,1,124,237,3,1,0.84742314
0,35,1,8,0,1,1,152,81,2,1,0.51536477
0,29,1,28,0,0,1,26,293,2,1,0.8216691
0,66,1,23,0,1,1,26,56,2,1,0.6039745
1,36,1,29,0,1,1,124,20,2,1,0.84294224
1,37,1,28,0,1,1,157,266,2,1,0.8369306
1,33,1,28,0,1,1,157,97,0,1,0.77470636
0,44,1,46,0,1,1,124,222,2,1,0.7493674
0,20,1,28,0,1,1,157,270,0,1,0.5377025
1,24,1,8,0,0,1,152,48,2,1,0.502886
1,56,1,28,0,1,1,26,227,2,1,0.75603384
0,25,1,27,0,0,1,26,187,0,1,0.59657234
1,39,1,8,0,1,1,124,191,2,1,0.7406538
0,40,1,28,0,1,1,124,207,2,1,0.77797645
0,46,1,28,0,2,1,154,287,1,1,0.541286
1,47,1,46,0,1,1,55,215,3,1,0.52010566
0,30,1,28,0,0,1,26,240,3,1,0.8624492
1,55,1,28,0,1,1,26,273,2,1,0.7462829
0,35,1,15,0,1,1,152,27,2,1,0.5736792
1,56,1,28,0,1,1,26,213,3,1,0.7649725
0,48,1,28,0,1,1,124,110,2,1,0.73414856
1,73,1,28,0,1,1,124,231,3,1,0.52823174
0,55,1,46,0,1,1,124,10,2,1,0.71575373
1,47,1,28,0,1,1,122,96,2,1,0.7765727
1,63,1,41,0,1,1,124,189,2,1,0.6296814
1,66,1,28,0,1,1,124,31,2,1,0.6068901
0,58,1,28,0,2,1,26,66,3,1,0.7887184
1,31,1,6,0,1,1,124,208,2,1,0.83899283
1,52,1,14,0,1,1,124,284,2,1,0.70707893
0,34,1,45,0,0,1,154,233,0,1,0.8230418
1,53,1,23,0,1,1,26,183,0,1,0.7420324
1,43,1,8,0,1,1,3,171,2,1,0.83322734
1,27,1,6,0,0,1,156,10,0,1,0.61645675
0,42,1,39,0,1,1,26,168,0,1,0.73819816
1,51,1,29,0,1,1,26,170,3,1,0.82155687
1,42,1,28,0,1,1,26,244,3,1,0.8243177
1,25,1,37,0,0,1,152,47,0,1,0.5275245
0,24,1,5,0,0,1,152,292,1,1,0.62860775
1,26,1,28,0,0,1,122,34,0,1,0.70951724
1,47,1,21,0,2,1,156,261,2,1,0.59018344
1,25,1,29,0,0,1,152,51,2,1,0.7085543
1,24,1,45,0,0,1,152,146,2,1,0.5405265
0,60,1,28,0,2,1,122,212,3,1,0.67763287
1,46,1,24,0,1,1,156,12,0,1,0.59457064
1,30,1,8,0,0,1,157,187,1,1,0.8688385
1,24,1,32,0,0,1,152,55,2,1,0.56191534
0,57,1,3,0,2,1,124,171,2,1,0.67460036
1,44,1,28,0,1,1,122,156,2,1,0.769491
1,62,1,28,0,2,1,124,41,2,1,0.68793887
0,53,1,37,0,2,1,124,270,2,1,0.7072036
1,23,1,28,0,1,1,122,68,3,1,0.602458
1,57,1,28,0,1,1,125,42,2,1,0.5427513
1,64,1,28,0,2,1,124,160,2,1,0.6440706
1,52,1,30,0,1,1,124,108,0,1,0.723707
0,44,1,29,0,2,1,26,35,0,1,0.83561826
0,37,1,28,0,1,1,122,65,2,1,0.7971666
1,32,1,40,0,0,1,152,174,0,1,0.60039824
0,46,1,28,0,1,1,26,14,2,1,0.802701
1,44,1,28,0,1,1,26,284,2,1,0.80724907
1,43,1,28,0,1,1,26,197,2,1,0.810262
1,49,1,29,0,1,1,156,260,0,1,0.70543724
0,44,1,18,0,1,1,157,122,0,1,0.7819565
1,32,1,8,0,1,1,154,248,2,1,0.8291318
1,57,1,8,0,1,1,26,30,0,1,0.7084008
1,54,1,28,0,1,1,23,161,2,1,0.6247252
0,42,1,28,0,2,1,158,138,0,1,0.7311671
1,49,1,8,0,1,1,26,183,2,1,0.7423548
1,63,1,28,0,1,1,26,90,2,1,0.6646893
0,21,1,28,0,0,1,26,206,2,1,0.50866586
1,22,1,41,0,1,1,163,258,0,1,0.79100037
0,40,1,6,0,1,1,122,207,0,1,0.7219476
1,54,1,28,0,1,1,26,84,3,1,0.7834518
0,64,1,28,0,1,1,13,215,3,1,0.6113531
1,38,1,41,0,1,1,26,231,2,1,0.8310128
1,35,1,37,0,1,1,157,292,0,1,0.80859023
0,56,1,3,0,1,1,156,253,0,1,0.66642815
1,29,1,30,0,0,1,152,294,2,1,0.7130449
1,34,1,8,0,1,1,156,197,2,1,0.82172567
1,44,1,46,0,1,1,94,241,2,1,0.6913554
0,22,1,43,0,1,1,157,236,2,1,0.61427546
1,44,1,28,0,1,1,124,239,2,1,0.7486275
1,44,1,32,0,1,1,26,287,2,1,0.78479195
1,54,1,8,0,1,1,26,259,2,1,0.7121493
1,31,1,49,0,1,1,154,265,2,1,0.8382304
1,40,1,28,0,2,1,26,137,2,1,0.8554355
1,50,1,28,0,1,1,29,269,0,1,0.75615364
1,39,1,3,0,1,1,154,288,3,1,0.80450976
0,38,1,28,0,1,1,26,268,3,1,0.8218247
1,44,1,35,0,1,1,26,112,2,1,0.84468526
1,46,1,28,0,1,1,124,131,2,1,0.7458534
1,60,1,28,0,1,1,26,297,3,1,0.74020517
1,55,1,8,0,2,1,157,288,2,1,0.5921314
0,31,1,8,0,1,1,26,273,0,1,0.7744186
1,55,1,28,0,1,1,124,12,2,1,0.70974284
1,39,1,28,0,1,1,124,155,2,1,0.77354527
0,40,1,28,0,1,1,125,270,2,1,0.66513723
0,50,1,28,0,1,1,157,104,0,1,0.7382668
1,41,1,10,0,2,1,26,165,1,1,0.8600428
1,56,1,28,0,1,1,124,102,2,1,0.66623706
1,25,1,24,0,0,1,124,37,1,1,0.7881507
1,41,1,28,0,1,1,124,25,2,1,0.75758106
1,55,1,28,0,1,1,26,212,2,1,0.7626074
0,80,1,11,0,1,1,156,60,0,1,0.6785785
1,45,1,28,0,1,1,156,199,2,1,0.7708448
0,68,1,28,0,1,1,26,62,2,1,0.60085773
0,51,1,8,0,1,1,124,198,0,1,0.66421056
0,28,1,28,0,0,1,122,107,3,1,0.7543385
1,48,1,41,0,2,1,124,254,2,1,0.80119586
0,29,1,8,0,0,1,156,53,2,1,0.8452448
0,41,1,28,0,1,1,26,162,2,1,0.7910549
0,45,1,29,0,1,1,26,176,0,1,0.8200189
1,39,1,26,0,1,1,124,241,1,1,0.74400455
1,48,1,28,0,1,1,26,258,0,1,0.7895885
1,34,1,18,0,1,1,124,86,2,1,0.8583945
1,50,1,28,0,1,1,26,81,0,1,0.77170634
1,39,1,8,0,1,1,26,58,2,1,0.7874971
1,44,1,48,0,1,1,124,142,0,1,0.64363796
1,45,1,45,0,1,1,163,206,0,1,0.7967255
1,44,1,30,0,1,1,122,71,2,1,0.80906993
0,39,1,28,0,1,1,31,163,3,1,0.78158706
1,35,1,36,0,1,1,124,219,1,1,0.84784234
1,57,1,28,0,1,1,23,51,2,1,0.547494
1,52,1,13,0,1,1,156,27,0,1,0.6867147
1,52,1,41,0,2,1,26,200,2,1,0.84415025
1,41,1,6,0,1,1,154,215,0,1,0.7713071
0,44,1,28,0,1,1,124,161,2,1,0.74110067
1,29,1,28,0,0,1,26,72,3,1,0.82288903
0,56,1,24,0,1,1,26,272,3,1,0.6965749
0,51,1,28,0,1,1,26,96,2,1,0.7769418
0,32,1,7,0,0,1,154,156,2,1,0.8546676
1,24,1,47,0,0,1,152,262,3,1,0.51314527
1,45,1,50,0,1,1,154,251,2,1,0.70655197
1,31,1,29,0,0,1,163,103,0,1,0.84023124
1,49,1,35,0,1,1,26,210,1,1,0.8343631
1,51,1,36,0,1,1,26,27,0,1,0.70615363
1,49,1,28,0,1,1,124,162,2,1,0.70109785
0,78,1,41,0,1,1,156,50,0,1,0.56586254
1,55,1,28,0,2,1,26,82,2,1,0.8389314
1,68,1,28,0,1,1,122,205,2,1,0.60991406
1,45,1,28,0,1,1,124,133,2,1,0.7491466
1,43,1,20,0,1,1,124,130,0,1,0.7136866
1,23,1,28,0,0,1,124,285,2,1,0.7282029
0,32,1,28,0,1,1,23,293,2,1,0.6872718
0,43,1,3,0,1,1,26,84,2,1,0.80540305
1,22,1,13,0,0,1,152,95,2,1,0.54388577
1,21,1,11,0,0,1,156,144,0,1,0.59351104
1,33,1,7,0,0,1,26,57,2,1,0.8696205
0,53,1,28,0,1,1,124,286,2,1,0.69170785
1,39,1,28,0,2,1,26,286,2,1,0.85078436
0,49,1,28,0,1,1,26,14,2,1,0.7746267
0,32,1,28,0,0,1,124,37,2,1,0.8653349
1,63,1,28,0,1,1,122,166,2,1,0.64583683
0,30,1,46,0,0,1,156,245,2,1,0.71808946
0,46,1,8,0,1,1,157,164,3,1,0.8161714
1,39,1,28,0,1,1,124,95,2,1,0.77328813
0,26,1,28,0,0,1,124,202,2,1,0.7617009
0,47,1,28,0,1,1,26,46,3,1,0.8051758
1,40,1,28,0,2,1,124,44,2,1,0.79382926
0,41,1,27,0,1,1,157,211,0,1,0.7580355
0,49,1,28,0,1,1,26,148,3,1,0.7946102
0,55,1,28,0,1,1,124,163,2,1,0.6784704
1,52,1,28,0,1,1,154,231,3,1,0.7289133
1,28,1,28,0,0,1,124,90,2,1,0.8432016
1,31,1,29,0,1,1,156,100,0,1,0.731808
1,45,1,28,0,1,1,26,79,2,1,0.80380327
0,38,1,12,0,1,1,154,128,2,1,0.7947408
1,53,1,12,0,1,1,26,199,2,1,0.7414596
1,71,1,8,0,1,1,26,103,2,1,0.5552423
1,46,1,28,0,2,1,157,31,0,1,0.5359405
0,74,1,12,0,1,1,25,87,2,1,0.6839056
0,71,1,28,0,1,1,26,283,3,1,0.57420295
1,38,1,28,0,1,1,124,277,0,1,0.7910887
1,47,1,46,0,1,1,156,252,0,1,0.67286617
1,59,1,28,0,1,1,124,275,3,1,0.6477758
0,28,1,41,0,0,1,26,265,1,1,0.8206075
1,47,1,41,0,1,1,26,205,2,1,0.81303126
1,25,1,28,0,0,1,152,62,0,1,0.61744905
0,31,1,11,0,1,1,156,192,2,1,0.83897954
1,31,1,33,0,0,1,152,129,2,1,0.6883758
1,59,1,50,0,1,1,124,195,1,1,0.61528045
1,50,1,28,0,2,1,124,268,2,1,0.74936664
1,50,1,11,0,1,1,26,123,0,1,0.8155394
1,38,1,14,0,1,1,157,53,0,1,0.7741315
1,36,1,28,0,1,1,124,206,2,1,0.81985694
0,44,1,28,0,1,1,124,106,2,1,0.74892014
1,45,1,11,0,2,1,26,102,2,1,0.88547146
1,61,1,28,0,1,1,26,214,2,1,0.6991088
1,41,1,29,0,1,1,124,63,2,1,0.79946107
1,36,1,28,0,1,1,122,171,2,1,0.83177155
0,54,1,46,0,2,1,26,239,2,1,0.76864946
1,40,1,6,0,1,0,156,124,0,1,0.5131227
1,53,1,28,0,1,1,26,226,2,1,0.7785593
0,66,1,28,0,1,1,124,256,3,1,0.5607574
1,44,1,28,0,1,1,122,176,3,1,0.7801439
1,33,1,28,0,1,1,163,90,0,1,0.79689056
0,43,1,28,0,1,1,26,11,3,1,0.774375
1,24,1,8,0,0,1,124,116,2,1,0.6947751
1,26,1,28,0,1,1,163,240,3,1,0.7241669
0,30,1,46,0,1,1,157,281,0,1,0.8062271
1,45,1,36,0,1,1,156,54,0,1,0.72891355
1,55,1,24,0,1,1,156,244,2,1,0.65647525
1,55,1,3,0,2,1,124,30,2,1,0.74893004
0,40,1,46,0,1,1,154,68,2,1,0.79461974
1,53,1,28,0,1,1,26,62,2,1,0.7763974
1,56,1,28,0,1,1,24,190,0,1,0.57181966
1,24,1,41,0,0,1,152,98,2,1,0.6736977
1,67,1,26,0,1,1,124,215,1,1,0.53053635
0,39,1,28,0,1,1,157,198,0,1,0.7817044
1,65,1,28,0,2,1,26,210,2,1,0.78713614
0,44,1,28,0,1,1,26,159,0,1,0.7842574
0,22,1,28,0,0,1,26,212,3,1,0.54314804
0,27,1,32,0,0,1,152,273,2,1,0.5067629
0,29,1,41,0,0,1,156,181,0,1,0.7726221
0,25,1,30,0,0,1,152,54,1,1,0.5540465
1,47,1,28,0,2,1,26,183,3,1,0.87848264
1,66,1,28,0,1,1,122,91,3,1,0.6086325
0,53,1,8,0,1,1,156,266,0,1,0.6484789
1,35,1,11,0,1,1,124,196,2,1,0.8650426
0,27,1,8,0,0,1,124,179,2,1,0.7167206
0,27,1,28,0,1,1,26,109,2,1,0.7668879
1,44,1,19,0,1,1,26,126,2,1,0.78248507
1,36,1,45,0,1,1,124,240,2,1,0.8273856
1,43,1,35,0,1,1,156,179,2,1,0.80815214
1,49,1,13,0,1,1,26,289,2,1,0.75240713
0,29,1,8,0,0,1,152,27,2,1,0.55597335
1,42,1,28,0,1,1,154,272,2,1,0.7602677
1,60,1,28,0,1,1,13,290,2,1,0.65413564
1,35,1,8,0,1,1,124,293,2,1,0.81596243
0,27,1,30,0,0,1,152,42,2,1,0.597383
1,23,1,28,0,1,1,124,207,3,1,0.6793206
1,55,1,28,0,1,1,26,284,2,1,0.7472379
1,30,1,38,0,1,1,156,162,0,1,0.6688313
1,46,1,28,0,1,1,26,203,2,1,0.8138002
0,49,1,28,0,1,1,26,79,2,1,0.77705866
1,28,1,41,0,0,1,152,74,0,1,0.6806439
1,42,1,28,0,1,1,124,97,1,1,0.76753277
0,39,1,28,0,1,1,157,40,2,1,0.8336066
0,26,1,18,0,0,1,124,114,0,1,0.7632464
1,24,1,21,0,0,1,154,150,2,1,0.6690881
0,30,1,30,0,0,1,152,216,2,1,0.70927095
1,40,1,8,0,1,1,154,229,2,1,0.7948626
1,24,1,39,0,0,1,122,72,0,1,0.7744048
0,37,1,45,0,0,1,124,155,0,1,0.88965523
1,39,1,8,0,1,1,152,11,2,1,0.55216384
0,43,1,28,0,1,1,122,212,2,1,0.7845933
1,40,1,20,0,1,1,157,173,0,1,0.7206399
0,44,1,1,0,1,1,124,112,0,1,0.60137886
1,51,1,39,0,1,1,26,16,3,1,0.7109363
1,23,1,8,0,0,1,26,88,3,1,0.5195307
1,65,1,28,0,1,1,52,104,2,1,0.54868054
1,52,1,28,0,1,1,26,137,3,1,0.78505695
1,44,1,28,0,1,1,124,188,2,1,0.75350136
1,30,1,28,0,1,1,124,269,2,1,0.8328099
1,66,1,33,0,1,1,26,46,2,1,0.5885212
1,65,1,28,0,1,1,26,167,2,1,0.6690896
1,52,1,8,0,1,1,124,182,2,1,0.6613257
1,50,1,28,0,1,1,26,74,2,1,0.785134
1,40,1,41,0,1,1,26,33,2,1,0.7915939
1,51,1,7,0,1,1,124,122,2,1,0.66759753
1,74,1,28,0,1,1,157,131,0,1,0.5010974
0,41,1,28,0,1,1,122,44,2,1,0.76888335
0,69,1,37,0,1,1,124,167,2,1,0.5361419
1,46,1,28,0,1,1,124,253,2,1,0.74464536
1,23,1,46,0,0,1,152,110,2,1,0.57052946
1,23,1,30,0,0,1,152,44,1,1,0.636817
1,33,1,4,0,1,1,163,17,2,1,0.8998814
0,28,1,28,0,0,1,160,169,0,1,0.53957504
0,73,1,14,0,1,1,26,29,1,1,0.50234216
1,57,1,35,0,1,1,124,272,2,1,0.7265226
0,39,1,9,0,1,1,124,77,2,1,0.71059346
0,50,1,28,0,2,1,13,197,2,1,0.777943
0,24,1,11,0,0,1,152,121,2,1,0.6198087
1,58,1,41,0,1,1,26,98,2,1,0.7371848
0,38,1,3,0,1,1,124,119,1,1,0.82800925
1,51,1,28,0,1,1,13,25,2,1,0.61603767
0,29,1,28,0,0,1,152,84,2,1,0.67432094
1,42,1,48,0,1,1,124,275,0,1,0.6590277
0,44,1,28,0,1,1,124,84,2,1,0.75459814
0,35,1,28,0,2,1,124,182,2,1,0.8013602
0,24,1,28,0,1,1,26,252,2,1,0.6291298
1,65,1,28,0,1,1,124,180,3,1,0.5899524
1,28,1,30,0,0,1,156,190,2,1,0.8109083
1,80,1,35,0,1,1,26,90,2,1,0.5418017
1,47,1,11,0,1,1,124,131,2,1,0.7836563
1,32,1,38,0,0,0,154,236,2,1,0.66168565
1,59,1,28,0,2,1,26,293,3,1,0.84291285
0,48,1,35,0,1,1,26,24,2,1,0.840936
1,59,1,27,0,1,1,26,212,0,1,0.6947817
0,42,1,28,0,1,1,26,22,2,1,0.805
1,65,1,28,0,2,1,124,143,2,1,0.64481
1,62,1,28,0,1,1,26,188,2,1,0.7006621
1,33,1,43,0,0,1,124,122,3,1,0.8312161
0,67,1,28,0,1,1,26,200,2,1,0.6116585
1,53,1,28,0,2,1,26,232,0,1,0.8253145
1,52,1,11,0,1,1,26,46,3,1,0.81070244
0,44,1,28,0,1,1,124,121,0,1,0.74047047
1,50,1,28,0,1,1,124,276,2,1,0.71555734
1,28,1,50,0,0,1,26,197,0,1,0.6528713
1,43,1,28,0,1,1,26,258,2,1,0.80782396
0,35,1,28,0,1,1,125,136,2,1,0.7862369
0,39,1,15,0,1,1,156,282,0,1,0.7552358
0,41,1,8,0,1,1,124,65,2,1,0.7134265
1,21,1,28,0,1,1,124,76,2,1,0.6245469
