序号,标题,发布时间,链接
66,文脉长存 瑰宝长青——在习近平文化思想引领下文化和自然遗产保护传承利用工作开创新局面,2026-06-13,https://www.gov.cn/yaowen/liebiao/202606/content_7071972.htm
67,《习近平外交文选》第一卷、第二卷主要篇目介绍,2026-06-11,https://www.gov.cn/yaowen/liebiao/202606/content_7071836.htm
68,《习近平外交文选》第一卷、第二卷出版发行,2026-06-11,https://www.gov.cn/yaowen/liebiao/202606/content_7071837.htm
69,让中朝传统友谊之树更加根深叶茂——习近平总书记对朝鲜进行国事访问纪实,2026-06-10,https://www.gov.cn/yaowen/liebiao/202606/content_7071776.htm
70,守护蔚蓝 向海图强——习近平总书记关于推动海洋经济高质量发展重要论述引领海洋强国建设,2026-06-10,https://www.gov.cn/yaowen/liebiao/202606/content_7071738.htm
71,习近平结束对朝鲜国事访问回到北京,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071621.htm
72,习近平出席金正恩举行的欢送仪式,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071619.htm
73,习近平夫妇出席金正恩夫妇举行的小范围午宴,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071615.htm
74,习近平同格鲁吉亚总统卡韦拉什维利就中格建交34周年互致贺电并共同宣布将双边关系提升为全面战略伙伴关系,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071578.htm
75,习近平参访朝鲜劳动党中央干部学校,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071564.htm
76,习近平和彭丽媛参谒中朝友谊塔,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071562.htm
77,习近平向加拿大新任总督路易丝·阿伯致贺电,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071551.htm
78,习近平和彭丽媛观看朝鲜专场文艺演出,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071529.htm
79,习近平出席金正恩举行的欢迎宴会,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071505.htm
80,习近平同金正恩举行会谈,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071471.htm
